Constituency is in resultdata but missing in constituencydata
Constituency is in constituencydata but missing in resultdata
Constituency(id=11, name=JAMA (ST))
Constituency(id=57, name=KHARASAWAN (ST))
Constituency(id=71, name=KOLEBIRA (ST))
Constituency(id=2, name=BORIO (ST))
Constituency(id=38, name=SINDRI)
Constituency(id=76, name=DALTONGANJ)
Constituency(id=64, name=HATIA)
Constituency(id=47, name=JUGSALAI (SC))
Constituency(id=59, name=TORPA (ST))
Constituency(id=32, name=GIRIDIH)
Constituency(id=40, name=DHANBAD)
Constituency(id=3, name=BARHAIT (ST))
Constituency(id=17, name=GODDA)
Constituency(id=54, name=JAGANATHPUR (ST))
Constituency(id=9, name=JAMTARA)
Constituency(id=74, name=LATEHAR (SC))
Constituency(id=68, name=GUMLA (ST))
Constituency(id=44, name=BAHARAGORA)
Constituency(id=48, name=JAMSHEDPUR EAST)
Constituency(id=35, name=BERMO)
Constituency(id=25, name=HAZARIBAGH)
Constituency(id=65, name=KANKE (SC))
Constituency(id=46, name=POTKA (ST))
Constituency(id=80, name=GARHWA)
Constituency(id=6, name=MAHESHPUR (ST))
Constituency(id=41, name=JHARIA)
Constituency(id=67, name=SISAI (ST))
Constituency(id=20, name=BARKATHA)
Constituency(id=30, name=JAMUA (SC))
Constituency(id=78, name=CHATTARPUR (SC))
Constituency(id=27, name=CHATRA (SC))
Constituency(id=4, name=LITTIPARA (ST))
Constituency(id=61, name=SILLI)
Constituency(id=16, name=POREYAHAT)
Constituency(id=45, name=GHATSILA (ST))
Constituency(id=33, name=DUMRI)
Constituency(id=66, name=MANDAR (ST))
Constituency(id=10, name=DUMKA (ST))
Constituency(id=42, name=TUNDI)
Constituency(id=19, name=KODARMA)
Constituency(id=72, name=LOHARDAGA (ST))
Constituency(id=21, name=BARHI)
Constituency(id=28, name=DHANWAR)
Constituency(id=51, name=SARAIKELLA (ST))
Constituency(id=24, name=MANDU)
Constituency(id=60, name=KHUNTI (ST))
Constituency(id=73, name=MANIKA (ST))
Constituency(id=1, name=RAJMAHAL)
Constituency(id=53, name=MAJHGANON (ST))
Constituency(id=52, name=CHAIBASA (ST))
Constituency(id=29, name=BAGODAR)
Constituency(id=37, name=CHANDANKYARI (SC))
Constituency(id=18, name=MAHAGAMA)
Constituency(id=39, name=NIRSA)
Constituency(id=62, name=KHIJRI (ST))
Constituency(id=70, name=SIMDEGA (ST))
Constituency(id=7, name=SHIKARIPARA (ST))
Constituency(id=5, name=PAKUR)
Constituency(id=14, name=SARATH)
Constituency(id=34, name=GOMIA)
Constituency(id=15, name=DEOGHAR (SC))
Constituency(id=58, name=TAMAR (ST))
Constituency(id=56, name=CHAKRADHARPUR (ST))
Constituency(id=49, name=JAMSHEDPUR WEST)
Constituency(id=36, name=BOKARO)
Constituency(id=26, name=SIMARIA (SC))
Constituency(id=50, name=ICHAGARH)
Constituency(id=69, name=BISHUNPUR (ST))
Constituency(id=12, name=JARMUNDI)
Constituency(id=31, name=GANDEY)
Constituency(id=13, name=MADHUPUR)
Constituency(id=63, name=RANCHI)
Constituency(id=23, name=RAMGARH)
total constituency data 74
total result data 1
total turnout data 74
