Constituency is in resultdata but missing in constituencydata
Constituency is in constituencydata but missing in resultdata
Constituency(id=185, name=KHARGONE)
Constituency(id=201, name=DHAR)
Constituency(id=5, name=SUMAOLI)
Constituency(id=10, name=BHIND)
Constituency(id=40, name=NARYAWALI (SC))
Constituency(id=215, name=GHATIYA (SC))
Constituency(id=35, name=BINA (SC))
Constituency(id=217, name=UJJAIN SOUTH)
Constituency(id=72, name=DEOTALAB)
Constituency(id=122, name=JUNNARDEO (ST))
Constituency(id=91, name=BADWARA (ST))
Constituency(id=145, name=BASODA)
Constituency(id=126, name=CHHINDWARA)
Constituency(id=83, name=BEOHARI (ST))
Constituency(id=7, name=DIMANI)
Constituency(id=65, name=MAIHAR)
Constituency(id=41, name=SAGAR)
Constituency(id=102, name=SIHORA (ST))
Constituency(id=200, name=DHARAMPURI (ST))
Constituency(id=190, name=BARWANI (S T ) (ST))
Constituency(id=8, name=AMBAH (SC))
Constituency(id=59, name=GUNNOUR (SC))
Constituency(id=49, name=CHANDLA (SC))
Constituency(id=144, name=VIDISHA)
Constituency(id=171, name=DEWAS)
Constituency(id=229, name=NEEMUCH)
Constituency(id=183, name=MAHESHWAR (SC))
Constituency(id=90, name=MANAPUR (ST))
Constituency(id=135, name=HARDA)
Constituency(id=142, name=SANCHI (SC) (SC))
Constituency(id=222, name=JAORA)
Constituency(id=129, name=MULTAI)
Constituency(id=170, name=SONKATCH (SC))
Constituency(id=60, name=PANNA)
Constituency(id=223, name=ALOTE (SC))
Constituency(id=14, name=GWALIOR RURAL)
Constituency(id=80, name=SINGAROULI)
Constituency(id=56, name=JABERA)
Constituency(id=119, name=NARSINGPUR)
Constituency(id=146, name=KURWAI (SC) (SC))
Constituency(id=17, name=GWALIOR SOUTH)
Constituency(id=100, name=JABALPUR WEST)
Constituency(id=178, name=PANDHANA (ST))
Constituency(id=18, name=BHITRWAR)
Constituency(id=117, name=LAKHANADON (ST))
Constituency(id=98, name=JABALPUR NORTH)
Constituency(id=76, name=CHURHAT)
Constituency(id=227, name=GAROTH)
Constituency(id=224, name=MANDSOUR)
Constituency(id=23, name=KARERA (SC))
Constituency(id=209, name=DR AMBEDKAR NAGAR MHOW)
Constituency(id=177, name=KHANDWA (SC))
Constituency(id=45, name=PRITHVIPUR)
Constituency(id=191, name=ALIRAJPUR (ST))
Constituency(id=120, name=TENDUKHEDA)
Constituency(id=29, name=GUNA (SC))
Constituency(id=30, name=CHACHODA)
Constituency(id=84, name=JAISINGHNAGAR (ST))
Constituency(id=113, name=KATANGI)
Constituency(id=159, name=SEHORE)
Constituency(id=196, name=SARDARPUR (ST))
Constituency(id=66, name=AMARPATAN)
Constituency(id=220, name=RATLAM CITY)
Constituency(id=128, name=PANDHURNA (ST))
Constituency(id=213, name=MAHIDPUR)
Constituency(id=226, name=SUWASRA)
Constituency(id=175, name=MANDHATA)
Constituency(id=118, name=GOTEGAON (SC))
Constituency(id=24, name=POHARI)
Constituency(id=93, name=MUDWARA)
Constituency(id=225, name=MALHARGARH (SC))
Constituency(id=198, name=KUKSHI (ST))
Constituency(id=44, name=JATARA (SC))
Constituency(id=25, name=SHIVPURI)
Constituency(id=43, name=TIKAMGARH)
Constituency(id=37, name=SURKHI)
Constituency(id=107, name=MANDLA (ST))
Constituency(id=141, name=BHOJPUR)
Constituency(id=166, name=AGAR (SC))
Constituency(id=63, name=SATNA)
Constituency(id=22, name=DATIA)
Constituency(id=75, name=GURH)
Constituency(id=58, name=PAWAI)
Constituency(id=181, name=BHIKANGAON (ST))
Constituency(id=15, name=GWALIOR)
Constituency(id=39, name=REHLI)
Constituency(id=219, name=RATLAM RURAL (ST))
Constituency(id=195, name=PETLAWAD (ST))
Constituency(id=133, name=BHAINSDEHI (ST))
Constituency(id=160, name=NARSINGHGARH)
Constituency(id=88, name=PUSPRAJGARH (ST))
Constituency(id=33, name=CHANDERI)
Constituency(id=89, name=BANDHAVGARH (ST))
Constituency(id=55, name=DAMOH)
Constituency(id=32, name=ASHOK NAGAR (SC))
Constituency(id=179, name=NEPANAGAR (ST))
Constituency(id=38, name=DEORI)
Constituency(id=86, name=KOTAMA)
Constituency(id=163, name=KHILCHIPUR)
Constituency(id=203, name=DEPALPUR)
Constituency(id=47, name=KHARGAPUR)
Constituency(id=192, name=JOBAT (ST))
Constituency(id=214, name=TARANA (SC))
Constituency(id=12, name=MEHGAON)
Constituency(id=54, name=PATHARIYA)
Constituency(id=51, name=CHHATARPUR)
Constituency(id=162, name=RAJGARH)
Constituency(id=61, name=CHITRAKOOT)
Constituency(id=99, name=JABALPUR CANTT)
Constituency(id=96, name=BARGI)
Constituency(id=69, name=SEMARIYA)
Constituency(id=42, name=BANDA)
Constituency(id=211, name=SANWER (SC))
Constituency(id=13, name=GOHAD (SC))
Constituency(id=114, name=BARGHAT (ST))
Constituency(id=174, name=BAGLI (ST))
Constituency(id=202, name=BADNAWAR)
Constituency(id=161, name=BIAORA)
Constituency(id=105, name=BICHHIYA (ST))
Constituency(id=97, name=JABALPUR EAST (SC))
Constituency(id=153, name=BHOPAL MADHYA)
Constituency(id=168, name=SHUJALPUR)
Constituency(id=103, name=SHAHPURA (ST))
Constituency(id=62, name=RAIGAON (SC))
Constituency(id=109, name=LANJI)
Constituency(id=4, name=JAURA)
Constituency(id=157, name=ASHTA (SC))
Constituency(id=26, name=PICHHORE)
Constituency(id=104, name=DINDORI (ST))
Constituency(id=158, name=ICHHAWAR)
Constituency(id=34, name=MUNGAOLI)
Constituency(id=46, name=NIWARI)
Constituency(id=121, name=GADARWARA)
Constituency(id=9, name=ATER)
Constituency(id=79, name=CHITRANGI (ST))
Constituency(id=11, name=LAHAR)
Constituency(id=19, name=DABARA (SC))
Constituency(id=53, name=MALHARA)
Constituency(id=71, name=MAUGANJ)
Constituency(id=151, name=NARELA)
Constituency(id=81, name=DEVSAR (SC))
Constituency(id=78, name=SIHAWAL)
Constituency(id=189, name=PANSEMAL (S T ) (ST))
Constituency(id=101, name=PANAGAR)
Constituency(id=106, name=NIWAS (ST))
Constituency(id=74, name=REWA)
Constituency(id=164, name=SARANGPUR (SC))
Constituency(id=186, name=BHAGWANPURA (ST))
Constituency(id=221, name=SAILANA (ST))
