Constituency is in resultdata but missing in constituencydata
Constituency is in constituencydata but missing in resultdata
Constituency(id=109, name=RAE BARELI)
Constituency(id=140, name=SIDDHAUR)
Constituency(id=361, name=FATEHPUR SIKRI)
Constituency(id=168, name=BASTI)
Constituency(id=118, name=PRATAPGARH)
Constituency(id=309, name=UMARDA)
Constituency(id=349, name=NIDHAULI KALAN)
Constituency(id=296, name=RAJPUR)
Constituency(id=284, name=FATEHPUR)
Constituency(id=380, name=DEBAI)
Constituency(id=117, name=GARWARA)
Constituency(id=173, name=NAUGARH)
Constituency(id=12, name=RANIKHET)
Constituency(id=39, name=SHAHABAD (SC))
Constituency(id=128, name=KADIPUR (SC))
Constituency(id=3, name=DEOPRAYAG)
Constituency(id=278, name=CHAIL (SC))
Constituency(id=249, name=BHADOHI (SC))
Constituency(id=137, name=SOHAWAL (SC))
Constituency(id=106, name=MOHANLALGANJ (SC))
Constituency(id=360, name=KHERAGARH)
Constituency(id=265, name=MIRZAPUR)
Constituency(id=256, name=SHAHGANJ (SC))
Constituency(id=171, name=ITWA)
Constituency(id=274, name=NAWABGANJ)
Constituency(id=5, name=PAURI)
Constituency(id=306, name=BHARTHANA)
Constituency(id=376, name=BARAULI)
Constituency(id=236, name=SAIDPUR)
Constituency(id=177, name=KHALILABAD)
Constituency(id=273, name=SORAON)
Constituency(id=266, name=CHHANBEY (SC))
Constituency(id=390, name=MODINAGAR)
Constituency(id=180, name=DHURIAPAR (SC))
Constituency(id=19, name=AFZALGARH)
Constituency(id=314, name=MOHAMMDABAD)
Constituency(id=95, name=HADHA)
Constituency(id=184, name=PIPRAICH)
Constituency(id=208, name=GHOSI)
Constituency(id=75, name=BISWAN)
Constituency(id=341, name=GHIROR)
Constituency(id=35, name=THAKURDWARA)
Constituency(id=83, name=BENIGANJ (SC))
Constituency(id=82, name=MACHHREHTA (SC))
Constituency(id=381, name=ANUPSHAHR)
Constituency(id=50, name=FARIDPUR (SC))
Constituency(id=254, name=JAUNPUR)
